Location,City,Bedrooms,Bathrooms,Parking,Price
Parklands, Nairobi,4,4,"Floor Size:

                            180
                        
                        m²",KSh 120 000
 Kilimani, Nairobi,2,2,2,KSh 70 000
Kilimani, Nairobi,3,4,2,KSh 80 000
,,4,4,,KSh 130 000
,,5,5,,KSh 320 000
 Kilimani, Nairobi,2,2,,KSh 55 000
 Kilimani, Nairobi,2,2,,KSh 55 000
New Muthaiga, Nairobi,6,6,2,KSh 500 000
 Lavington, Nairobi,3,1,,KSh 210 000
 Muthaiga, Nairobi,5,5,5,KSh 850 000
 Lavington, Nairobi,6,6,5,KSh 230 000
 Muthaiga, Nairobi,5,5,3,KSh 140 000
 Lavington, Nairobi,4,4,,KSh 170 000
Kilimani, Nairobi,3,4,,KSh 180 000
 Lavington, Nairobi,4,4,,KSh 200 000
Lavington, Nairobi,3,,,KSh 350 000
 Kilimani, Nairobi,3,3,2,KSh 90 000
 Lavington, Nairobi,4,4,,KSh 210 000
 Lavington, Nairobi,4,4,,KSh 210 000
 Lavington, Nairobi,4,4,,KSh 200 000
Karen, Nairobi,4,4,,KSh 90 000
 Mombasa Rd, Nairobi,3,2,2,KSh 7 500 000
 Runda, Nairobi,5,5,6,KSh 250 000
 Kilimani, Nairobi,3,3,,KSh 85 000
,,5,5,,KSh 600 000
Karen, Nairobi,6,6,,KSh 250 000
 Kilimani, Nairobi,2,2,1,KSh 52 000
,,1,2,,KSh 70 000
 Loresho, Nairobi,5,5,2,KSh 300 000
Riverside, Nairobi,3,3,2,KSh 350 000
Riverside, Nairobi,3,3,2,KSh 350 000
 Lavington, Nairobi,3,3,2,KSh 75 000
Westlands, Nairobi,3,3,,KSh 140 000
Westlands, Nairobi,3,2,,KSh 100 000
Westlands, Nairobi,4,4,,KSh 200 000
Westlands, Nairobi,3,3,,KSh 150 000
Westlands, Nairobi,3,3,,KSh 130 000
Muthaiga, Nairobi,3,3,,KSh 200 000
Muthaiga, Nairobi,2,2,,KSh 160 000
 Kilimani, Nairobi,2,2,,KSh 180 000
,,2,1,,KSh 55 000
Ngong Rd, Nairobi,1,1,,KSh 25 000
 Kilimani, Nairobi,2,2,2,KSh 67 000
,,1,1,,KSh 85 000
Lavington, Nairobi,4,3,,KSh 250 000
,,5,5,4,KSh 260 000
Lavington, Nairobi,3,4,2,KSh 130 000
